AnimalID,Name,OutcomeType,AnimalType,AgeuponOutcome,Breed,Color,Quality,Sex,HairType,Mix,BreedGroup,MultiColored,Hour,Minute,Second,Year,Month,Day,LifeStage,DayPeriod
A711582,0,3,0,366,2,5,1,1,0,1,1,0,12,21,0,2016,01,18,0,0
A686670,0,2,1,61,1,5,0,0,1,1,1,0,18,30,0,2014,08,30,1,0
A705305,1,4,1,3,1,7,3,2,1,1,1,0,11,5,0,2015,06,16,1,0
A678374,0,0,0,4381,31,17,0,0,0,1,0,0,13,29,0,2014,11,11,0,1
A689823,1,1,0,121,17,9,2,0,0,1,6,0,12,45,0,2014,10,10,1,0
A696451,1,1,0,731,15,0,2,0,1,1,4,0,19,6,0,2015,02,05,0,0
A699268,0,2,0,1461,38,9,1,1,0,1,0,0,12,41,0,2015,08,27,0,0
A370852,0,0,0,3286,15,4,1,1,1,1,4,0,13,19,0,2013,11,08,0,1
A696396,0,2,0,61,17,5,1,1,0,1,6,0,12,11,0,2015,02,16,1,0
A673082,0,2,0,1826,23,9,0,0,0,0,4,0,18,37,0,2014,03,08,0,0
A696598,1,1,1,366,1,39,2,0,5,1,1,0,11,31,0,2015,02,08,0,0
A676554,0,3,0,731,109,51,0,0,1,0,1,0,8,0,0,2014,04,15,0,0
A685248,1,2,1,61,1,7,0,0,1,1,1,0,16,37,0,2014,08,20,1,1
A682740,1,3,1,5,1,7,2,1,1,1,1,0,14,14,0,2014,07,02,1,1
A662880,0,2,1,61,1,11,0,0,1,1,1,0,14,18,0,2013,10,06,1,1
A695847,1,3,1,731,1,11,2,0,1,1,1,0,9,0,0,2015,01,25,0,0
A700350,1,3,1,6,1,5,3,2,1,1,1,0,16,20,0,2015,04,12,1,1
A689570,0,2,0,366,15,9,1,1,1,1,4,0,17,48,0,2015,03,08,0,0
A719156,1,2,0,31,13,5,0,0,0,1,0,0,17,23,0,2016,01,19,1,0
A685809,0,2,0,731,22,12,1,1,0,1,7,0,17,52,0,2014,08,22,0,0
A674106,0,2,0,181,106,0,1,1,0,0,1,0,17,21,0,2014,03,18,1,0
A584566,0,0,1,5111,1,2,1,1,1,1,1,0,13,11,0,2015,07,20,0,1
A665568,1,3,0,61,15,5,0,0,1,0,4,0,15,41,0,2013,10,24,1,1
A698357,0,0,0,3651,102,5,2,0,0,0,2,0,18,53,0,2015,03,11,0,0
A679449,1,3,1,22,1,11,2,0,1,1,1,0,12,34,0,2014,05,21,1,0
A716949,0,2,0,61,17,16,0,0,0,1,6,0,18,26,0,2015,12,04,1,0
A709261,0,2,1,61,1,5,1,1,1,1,1,0,11,26,0,2015,08,15,1,0
A668733,0,0,0,366,2,12,1,1,0,1,1,0,17,16,0,2013,12,09,0,0
A689761,0,2,0,2556,17,20,1,1,0,1,6,0,11,55,0,2015,10,28,0,0
A713688,0,0,0,1826,17,5,0,0,0,1,6,0,15,8,0,2015,10,12,0,1
A693912,0,0,0,366,15,4,1,1,4,1,4,0,17,12,0,2014,12,27,0,0
A710834,0,2,1,61,29,21,2,1,0,1,1,0,16,58,0,2015,09,04,1,1
A703411,1,3,0,61,17,0,2,1,0,1,6,0,15,32,0,2015,05,29,1,1
A697728,0,2,1,61,1,7,1,1,1,1,1,0,18,5,0,2015,03,03,1,0
A663595,0,2,1,91,1,5,2,1,1,1,1,0,16,48,0,2013,10,19,1,1
A716964,0,0,0,731,15,5,2,0,1,1,4,0,18,11,0,2015,11,29,0,0
A688200,1,3,1,6,1,32,3,2,1,1,1,0,13,18,0,2014,09,16,1,1
A670238,1,3,0,3,2,2,3,2,0,1,1,0,15,12,0,2014,01,05,1,1
A612857,1,3,1,1096,1,11,0,0,1,1,1,0,9,0,0,2014,12,08,0,0
A682586,0,0,0,731,82,5,1,1,0,0,3,0,14,31,0,2014,06,30,0,1
A713537,0,2,0,731,6,2,1,1,0,1,3,0,18,36,0,2015,10,12,0,0
A693034,0,0,1,366,1,9,1,1,1,1,1,0,11,32,0,2014,12,01,0,0
A671823,0,3,0,731,166,17,1,1,0,1,4,0,16,47,0,2014,02,13,0,1
A703985,0,3,0,1096,57,4,0,0,0,1,2,0,13,1,0,2015,07,25,0,1
A697839,1,2,1,61,1,5,1,1,1,1,1,0,11,48,0,2015,05,05,1,0
A675697,0,0,0,366,17,16,0,0,0,1,6,0,17,4,0,2014,04,02,0,0
A685487,0,2,0,1096,56,12,0,0,0,1,5,0,13,39,0,2015,09,07,0,1
A586222,0,0,0,1096,15,9,0,0,1,1,4,0,14,57,0,2014,07,21,0,1
A601482,0,0,0,2556,28,4,0,0,0,1,2,0,15,54,0,2015,10,29,0,1
A719496,0,3,0,61,53,9,2,1,0,1,4,0,11,32,0,2016,01,22,1,0
A609622,0,3,0,2921,15,41,1,1,1,1,4,0,0,0,0,2015,11,05,0,2
A680487,1,3,1,366,1,18,2,1,1,1,1,0,18,52,0,2014,06,04,0,0
A665183,0,0,0,731,2,4,0,0,0,1,1,0,18,33,0,2015,04,12,0,0
A683434,1,3,0,271,22,13,2,0,0,1,7,0,16,57,0,2014,07,10,1,1
A673939,0,3,0,61,17,0,0,0,0,1,6,0,12,18,0,2014,03,30,1,0
A701772,0,3,0,1096,13,5,1,1,0,1,0,0,0,0,0,2015,05,27,0,2
A619861,0,2,0,1096,2,0,1,1,0,1,1,0,12,56,0,2014,02,12,0,0
A664601,1,3,1,1826,1,11,0,0,1,1,1,0,15,4,0,2013,10,06,0,1
A673601,1,3,1,731,1,1,2,0,1,1,1,0,13,59,0,2014,03,01,0,1
A686416,0,2,0,61,17,5,1,1,0,1,6,0,17,16,0,2014,08,30,1,0
A688125,0,2,1,91,1,18,1,1,1,1,1,0,17,11,0,2014,11,22,1,0
A685492,0,3,1,61,1,11,0,0,1,1,1,0,15,9,0,2014,08,17,1,1
A701286,1,3,1,15,1,9,2,1,1,1,1,0,13,33,0,2015,04,27,1,1
A717842,0,2,0,366,15,9,0,0,1,1,4,0,18,10,0,2015,12,23,0,0
A652974,0,2,0,731,97,9,1,1,0,0,4,0,17,36,0,2014,08,01,0,0
A706156,0,3,1,61,1,7,0,0,1,1,1,0,0,0,0,2015,07,02,1,2
A699961,0,3,0,366,15,0,0,0,1,1,4,0,12,22,0,2015,04,19,0,0
A685431,0,3,0,2556,53,19,2,1,0,1,4,0,11,44,0,2014,08,11,0,0
A691601,0,2,1,61,1,18,1,1,1,1,1,0,16,20,0,2014,11,20,1,1
A676760,1,3,1,22,1,7,2,1,1,1,1,0,19,8,0,2014,04,14,1,0
A678577,0,0,0,1826,44,27,1,1,0,1,0,0,18,31,0,2014,05,10,0,0
A684280,1,3,1,8,1,5,2,0,1,1,1,0,16,50,0,2014,07,25,1,1
A710316,1,3,1,22,1,7,2,0,1,1,1,0,15,12,0,2015,08,21,1,1
A676164,0,2,0,3651,15,4,0,0,1,1,4,0,18,15,0,2014,05,02,0,0
A718930,0,3,0,1096,30,17,0,0,0,1,5,0,11,27,0,2016,02,11,0,0
A665840,1,3,0,29,17,5,2,1,0,1,6,0,13,33,0,2013,10,23,1,1
A694494,0,2,0,1826,2,9,1,1,0,1,1,0,18,22,0,2015,03,13,0,0
A671201,0,0,0,2921,15,17,0,0,1,1,4,0,18,34,0,2014,01,25,0,0
A677963,0,2,0,366,96,17,0,0,0,1,0,0,17,47,0,2014,05,13,0,0
A718635,0,3,0,181,2,45,0,0,0,1,1,0,0,0,0,2016,01,10,1,2
A698222,0,2,0,2191,17,0,1,1,0,1,6,0,10,35,0,2016,01,15,0,0
A695426,1,1,1,366,1,7,0,0,1,1,1,0,15,26,0,2015,01,15,0,1
A626809,0,0,0,1096,135,9,1,1,0,1,1,0,11,38,0,2013,10,05,0,0
A712302,0,2,1,61,1,2,1,1,1,1,1,0,8,54,0,2015,12,06,1,0
A678498,1,2,0,271,2,9,1,1,0,1,1,0,16,22,0,2014,05,22,1,1
A659078,0,2,0,366,17,5,1,1,0,1,6,0,15,55,0,2014,02,18,0,1
A714295,0,2,0,731,36,9,0,0,0,1,3,0,19,5,0,2015,10,25,0,0
A674206,0,2,1,1826,1,15,1,1,4,1,1,0,12,25,0,2014,03,22,0,0
A690220,0,2,0,366,102,12,1,1,1,1,2,0,19,2,0,2014,10,20,0,0
A717518,0,2,0,61,38,8,1,1,0,1,0,0,19,1,0,2015,12,13,1,0
A717114,0,2,0,1096,15,5,0,0,1,1,4,0,15,35,0,2015,12,18,0,1
A287217,0,0,1,4381,1,5,1,1,1,1,1,0,13,6,0,2014,10,31,0,1
A679459,0,1,0,1096,31,5,0,0,0,1,0,0,12,48,0,2014,06,13,0,0
A692430,0,0,0,2921,17,16,2,0,0,1,6,0,17,27,0,2014,11,24,0,0
A702735,0,3,1,29,1,11,2,0,1,1,1,0,16,41,0,2015,05,18,1,1
A558166,0,0,0,3286,37,8,1,1,0,0,5,0,17,45,0,2014,12,19,0,0
A686697,0,3,0,1096,15,4,0,0,1,1,4,0,14,31,0,2014,10,13,0,1
A671590,0,2,0,241,44,27,0,0,0,1,0,0,17,3,0,2014,02,01,1,0
A693479,0,2,0,1461,10,5,1,1,2,1,6,0,17,33,0,2014,12,13,0,0
A668716,0,0,0,241,37,8,0,0,0,1,5,0,16,25,0,2013,12,10,1,1
A698699,0,2,1,61,1,5,1,1,1,1,1,0,13,12,0,2015,03,21,1,1
A691045,0,0,0,5111,17,9,0,0,0,1,6,0,16,10,0,2014,10,29,0,1
A688820,0,1,0,2921,38,26,2,1,0,1,0,0,16,36,0,2014,09,24,0,1
A698565,1,2,0,31,17,9,0,0,0,1,6,0,14,54,0,2015,05,08,1,1
A708407,1,3,0,151,2,2,2,1,0,1,1,0,14,33,0,2015,07,31,1,1
A683186,1,3,1,22,1,9,2,0,1,1,1,0,18,9,0,2014,07,17,1,0
A706073,0,2,0,731,15,4,1,1,1,1,4,0,17,28,0,2015,06,28,0,0
A666411,0,0,0,366,40,9,0,0,0,1,2,0,18,16,0,2013,11,05,0,0
A671178,1,3,0,301,52,5,2,0,0,1,5,0,12,28,0,2014,01,26,1,0
